J4,36.37,127.29,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,54.21,123.42,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,45.60,126.98,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,45.60,128.93,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,36.70,109.17,270.00,68uH,NORDIC_NRF_2_RESC0402_L
L7,39.44,111.69,180.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,40.23,106.71,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,43.21,128.37,0.00,3K3,CPF0201D7K68C1_0201
R18,42.57,128.37,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,39.85,104.13,180.00,0.47,ERA-1AEB3401C_0201
R1_USB,38.41,118.07,0.00,5K1,CPF0201D7K68C1_0201
R2,37.67,115.67,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,38.97,104.13,180.00,10K,ERA-1AEB3401C_0201
R2_USB,37.59,118.07,0.00,5K1,ERA-1AEB3401C_0201
R3,32.67,119.75,270.00,0,ERA-1AEB3401C_0201
R4,39.61,116.97,0.00,0,CPF0201D7K68C1_0201
R5,34.37,100.37,0.00,10k,CPF0201D7K68C1_0201
R7,45.33,99.47,0.00,10k,CPF0201D7K68C1_0201
R8,30.29,96.97,0.00,10k,CPF0201D7K68C1_0201
R9,23.45,127.97,0.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,33.07,113.27,270.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,39.91,102.93,180.00,2.2,ERA-1AEB3401C_0201
SJ1,19.73,99.29,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,48.44,99.55,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,26.34,99.54,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,37.43,99.55,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,19.11,122.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,21.81,122.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,20.24,125.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,15.80,122.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,16.29,124.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,20.02,129.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,58.48,102.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,58.43,111.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,58.52,107.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,58.54,105.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,53.91,99.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,56.89,99.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,17.53,127.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,22.72,129.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,48.10,122.33,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,27.41,129.51,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,54.39,126.01,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,42.89,121.02,90.00,"32.768kHz ",NORDIC_NRF_1_XTAL_3215_N
